Latest: Time (s),Latest: X Acceleration 1 (m/s²),Latest: Y Acceleration 1 (m/s²),Latest: Z Acceleration 1 (m/s²),Latest: Z Acceleration 2 (m/s²),Latest: Y Acceleration 2 (m/s²),Latest: X Acceleration 2 (m/s²),FFT: Time - Frequency (Hz),FFT: Z Acceleration 2 - FFT,FFT 2: Time - Frequency (Hz),FFT 2: Z Acceleration 2 - FFT,FFT 3: Time - Frequency (Hz),FFT 3: Z Acceleration 2 - FFT
23.808806,9.43241379427,-1.46625293596,0.80778004718,2.03425715995,-0.73701131565,9.86598982662,,,,,,
23.810472,9.43241379427,-1.46625293596,0.80778004718,1.99889804321,-0.770160487591,9.82958397549,,,,,,
23.812138,9.43241379427,-1.51239772563,0.80778004718,2.03425715995,-0.770160487591,9.86598982662,,,,,,
23.813804,9.47779466951,-1.51239772563,0.80778004718,2.03425715995,-0.770160487591,9.86598982662,,,,,,
23.81547,9.43241379427,-1.46625293596,0.853160922416,1.99889804321,-0.770160487591,9.82958397549,,,,,,
23.817136,9.43241379427,-1.51239772563,0.80778004718,2.03425715995,-0.770160487591,9.82958397549,,,,,,
23.818802,9.43241379427,-1.46625293596,0.80778004718,2.03425715995,-0.770160487591,9.82958397549,,,,,,
23.820468,9.43241379427,-1.51239772563,0.80778004718,2.03425715995,-0.73701131565,9.86598982662,,,,,,
23.822134,9.52317554475,-1.4201081463,0.853160922416,1.99889804321,-0.770160487591,9.79317812435,,,,,,
23.8238,9.43241379427,-1.51239772563,0.80778004718,1.99889804321,-0.73701131565,9.86598982662,,,,,,
23.825466,9.43241379427,-1.46625293596,0.80778004718,1.99889804321,-0.805519604328,9.79317812435,,,,,,
23.827132,9.43241379427,-1.46625293596,0.80778004718,2.06961627668,-0.73701131565,9.86598982662,,,,,,
23.828798,9.43241379427,-1.51239772563,0.762399171945,1.96353892647,-0.805519604328,9.86598982662,,,,,,
23.830464,9.52317554475,-1.37396335663,0.943922672886,1.99889804321,-0.770160487591,9.90239567775,,,,,,
23.83213,9.52317554475,-1.4201081463,0.853160922416,1.99889804321,-0.666293082177,9.93880152889,,,,,,
23.833796,9.56855641998,-1.37396335663,0.943922672886,2.03425715995,-0.73701131565,9.90239567775,,,,,,
23.835462,9.56855641998,-1.37396335663,0.898541797651,2.06961627668,-0.666293082177,9.93880152889,,,,,,
23.837128,9.47779466951,-1.46625293596,0.853160922416,1.99889804321,-0.770160487591,9.86598982662,,,,,,
23.838794,9.43241379427,-1.51239772563,0.80778004718,2.06961627668,-0.701652198914,9.86598982662,,,,,,
23.84046,9.43241379427,-1.46625293596,0.80778004718,2.06961627668,-0.73701131565,9.86598982662,,,,,,
23.842126,9.43241379427,-1.46625293596,0.80778004718,2.03425715995,-0.73701131565,9.82958397549,,,,,,
23.843792,9.43241379427,-1.46625293596,0.80778004718,1.99889804321,-0.73701131565,9.86598982662,,,,,,
23.845458,9.43241379427,-1.46625293596,0.80778004718,1.99889804321,-0.770160487591,9.79317812435,,,,,,
23.847124,9.43241379427,-1.46625293596,0.80778004718,1.96353892647,-0.73701131565,9.82958397549,,,,,,
23.84879,9.38703291904,-1.51239772563,0.762399171945,2.03425715995,-0.770160487591,9.82958397549,,,,,,
23.850456,9.43241379427,-1.46625293596,0.80778004718,2.03425715995,-0.770160487591,9.82958397549,,,,,,
23.852122,9.43241379427,-1.46625293596,0.853160922416,1.99889804321,-0.73701131565,9.82958397549,,,,,,
23.853788,9.47779466951,-1.37396335663,0.943922672886,1.99889804321,-0.73701131565,9.82958397549,,,,,,
23.855454,9.43241379427,-1.46625293596,0.898541797651,1.99889804321,-0.73701131565,9.75677227322,,,,,,
23.85712,9.47779466951,-1.46625293596,0.671637421474,2.2817709771,-0.52485661523,9.64755471982,,,,,,
23.858786,9.47779466951,-1.23552898763,1.44311230048,2.31713009384,-0.52485661523,9.68396057095,,,,,,
23.860452,9.47779466951,-1.05094982896,1.67001667665,2.17569362689,-0.454138381756,9.35630791076,,,,,,
23.862118,8.4340345391,-1.00480503929,2.25996805471,3.20110801226,-0.489497498493,8.99224939942,,,,,,
23.863784,8.20713016292,-0.912515459961,2.30534892995,3.37790359595,-0.277342798072,8.19132067449,,,,,,
23.86545,7.02495836304,-1.6969768843,0.943922672886,3.6254174131,-0.63093396544,7.5360153541,,,,,,
23.867116,6.84343486209,-1.46625293596,1.85154017759,0.299450495047,-0.312701914809,11.3199485063,,,,,,
23.868782,8.84246241621,-1.46625293596,0.172447793884,-0.0541406723205,-0.348061031546,6.70095614373,,,,,,
23.870448,8.25251103815,-1.51239772563,-0.372122708941,3.02431242858,-0.946956071275,7.02633343823,,,,,,
23.872114,9.16012854286,-1.5585425153,1.62463580142,3.02431242858,-0.946956071275,8.99224939942,,,,,,
23.87378,8.52479628957,-0.635646721959,-1.37050196412,1.74917428126,0.182325719506,9.97520738002,,,,,,
23.875446,8.34327278862,-0.958660249627,-0.190599207999,-0.761323007056,-0.418779265019,8.77381429262,,,,,,
23.877112,9.38703291904,-1.9738456223,-0.78055058606,0.334809611784,-1.33590635538,7.3175802473,,,,,,
23.878778,8.47941541433,-1.9738456223,-1.5974063403,-1.32927881964,-1.51270193906,11.7204128687,,,,,,
23.880444,8.52479628957,-0.958660249627,2.71377680707,1.53701958084,-0.383420148282,8.66459673923,,,,,,
23.88211,9.16012854286,-2.61987267763,-0.145218332764,1.64309693105,-1.37126547212,8.30053822789,,,,,,
23.883776,8.34327278862,-0.681791511626,-0.417503584176,-0.0541406723205,0.111607486033,12.1208772312,,,,,,
23.885442,9.65931817045,-0.681791511626,1.35235055001,3.20110801226,0.0408892525593,5.7908098654,,,,,,
23.887108,8.29789191339,-1.6969768843,-1.05283583747,0.653041662415,-2.2198842738,11.6111953153,,,,,,
23.888774,11.5199340551,-1.9738456223,2.6230150566,0.865196362836,-0.171265447862,10.3028600402,,,,,,
23.89044,9.29627116857,-0.912515459961,2.39611068042,4.93591467716,0.182325719506,8.62819088809,,,,,,
23.892106,7.6149097411,-1.09709461863,-0.372122708941,1.39558311389,-0.63093396544,11.3563543574,,,,,,
23.893772,9.75007992092,-0.912515459961,0.80778004718,1.25414664694,-0.52485661523,8.40975578129,,,,,,
23.895438,9.25089029333,-0.77408109096,0.762399171945,2.21105274363,-0.489497498493,10.0480190823,,,,,,
23.897104,7.93484491151,-1.09709461863,2.44149155566,3.16574889552,0.429839536664,9.02865525056,,,,,,
23.89877,8.25251103815,-1.60468730496,1.80615930236,3.34254447921,-0.560215731966,7.4267978007,,,,,,
23.900436,7.88946403627,-1.14323940829,-0.0998374575283,2.38784832731,-0.454138381756,8.00929141883,,,,,,
23.902102,6.79805398686,-1.37396335663,-0.417503584176,0.723759895889,-1.01767430475,7.3175802473,,,,,,
23.903768,6.43500698498,-1.6969768843,2.39611068042,3.05967154531,-0.666293082177,6.6645502926,,,,,,
23.905434,7.38800536492,-1.32781856696,4.12058393937,4.86519644369,-0.418779265019,7.49960950296,,,,,,
23.9071,6.9795774878,-1.14323940829,1.35235055001,4.26188151437,-0.312701914809,9.24709035736,,,,,,
23.908766,7.20648186398,-1.51239772563,1.80615930236,3.236467129,-0.312701914809,8.40975578129,,,,,,
23.910432,8.25251103815,-1.2816737773,-0.0998374575283,-0.478450073162,-1.05303342149,9.28349620849,,,,,,
23.912098,7.7510523668,-1.23552898763,0.898541797651,1.67845604778,0.14696660277,8.70100259036,,,,,,
23.913764,8.75170066574,-1.51239772563,1.44311230048,3.48398094616,-0.666293082177,8.51897333469,,,,,,
23.91543,9.38703291904,-1.5585425153,-0.644407960353,1.74917428126,-1.58342017254,9.46552546415,,,,,,
23.917096,9.29627116857,-1.65083209463,-0.599027085118,-0.549168306636,-0.982315188012,9.90239567775,,,,,,
23.918762,9.52317554475,-1.5585425153,-1.32512108888,-2.00110203764,-0.946956071275,9.31990205962,,,,,,
23.920428,9.3416520438,-1.4201081463,-2.00583421742,-0.834251185326,-0.595574848703,9.50193131529,,,,,,
23.922094,10.4307930495,-1.37396335663,-0.599027085118,1.60773781431,-1.01767430475,10.4848892959,,,,,,
23.92376,9.43241379427,-1.4201081463,-0.0544565822929,1.00663282978,-0.73701131565,10.6669185515,,,,,,
23.925426,9.43241379427,-1.78926646363,-0.190599207999,-1.47071528659,-1.61877928927,9.31990205962,,,,,,
23.927092,9.29627116857,-1.46625293596,0.21782866912,-0.266295372741,-0.52485661523,9.61114886869,,,,,,
23.928758,8.93322416669,-1.46625293596,-0.689788835589,2.21105274363,-0.52485661523,9.53833716642,,,,,,
23.930424,8.70631979051,-1.65083209463,0.0363051681779,3.76685388005,-0.911596954538,9.28349620849,,,,,,
23.93209,7.66029061633,-1.4201081463,2.16920630424,2.49392567753,-0.805519604328,8.40975578129,,,,,,
23.933756,7.66029061633,-1.5585425153,2.12382542901,1.53701958084,-0.911596954538,8.37334993016,,,,,,
23.935422,7.11572011351,-1.46625293596,1.62463580142,1.07735106326,-0.454138381756,8.26413237676,,,,,,
23.937088,7.52414799063,-1.37396335663,0.898541797651,2.84751684489,-0.454138381756,7.68163875863,,,,,,
23.938754,7.66029061633,-1.46625293596,0.717018296709,3.48398094616,-0.73701131565,8.55537918583,,,,,,
23.94042,7.7510523668,-1.46625293596,0.80778004718,3.6254174131,-0.277342798072,8.08210312109,,,,,,
23.942086,8.20713016292,-1.46625293596,1.12544617383,2.31713009384,-0.666293082177,8.99224939942,,,,,,
23.943752,8.29789191339,-1.4201081463,1.2162079243,1.71381516452,-0.52485661523,8.95584354829,,,,,,
23.945418,8.5701771648,-1.8354112533,1.26158879953,2.06961627668,-0.805519604328,8.73740844149,,,,,,
23.947084,8.25251103815,-1.6969768843,0.943922672886,2.10497539342,-0.770160487591,9.35630791076,,,,,,
23.94875,8.66093891527,-1.4201081463,1.17082704906,2.17569362689,-0.701652198914,8.70100259036,,,,,,
23.950416,8.84246241621,-1.60468730496,0.490113920532,2.564643911,-0.840878721065,9.02865525056,,,,,,
23.952082,8.47941541433,-1.46625293596,0.490113920532,1.2187875302,-0.840878721065,9.53833716642,,,,,,
23.953748,9.02398591716,-1.5585425153,0.580875671003,1.2187875302,-0.770160487591,9.02865525056,,,,,,
23.955414,8.84246241621,-1.5585425153,0.943922672886,1.43094223063,-0.946956071275,9.53833716642,,,,,,
23.95708,9.02398591716,-1.51239772563,0.671637421474,1.07735106326,-0.876237837801,9.72036642209,,,,,,
23.958746,9.56855641998,-1.5585425153,-0.372122708941,1.2187875302,-0.911596954538,9.90239567775,,,,,,
23.960412,9.56855641998,-1.5585425153,-0.417503584176,0.370168728521,-1.05303342149,10.1208307846,,,,,,
23.962078,9.84084167139,-1.78926646363,-0.0998374575283,0.0872957946267,-1.08839253822,10.1936424868,,,,,,
23.963744,9.79546079616,-1.74312167396,0.0816860434134,0.93591459631,-0.911596954538,10.1936424868,,,,,,
23.96541,9.79546079616,-1.65083209463,0.127066918649,1.04199194652,-0.946956071275,10.4120775936,,,,,,
23.967076,9.61393729522,-1.65083209463,-0.00907570705749,1.2187875302,-0.911596954538,10.1572366357,,,,,,
23.968742,9.52317554475,-1.4201081463,-0.508265334647,1.5016604641,-0.52485661523,9.64755471982,,,,,,
23.970408,9.29627116857,-1.4201081463,-0.0544565822929,2.21105274363,-0.701652198914,9.17427865509,,,,,,
23.972074,8.66093891527,-1.46625293596,1.08006529859,2.67072126121,-0.73701131565,9.21068450622,,,,,,
23.97374,8.70631979051,-1.5585425153,1.12544617383,2.35248921058,-0.770160487591,8.84662599489,,,,,,
23.975406,8.29789191339,-1.51239772563,1.03468442336,1.78453339799,-0.805519604328,8.95584354829,,,,,,
23.977072,8.52479628957,-1.51239772563,1.08006529859,2.49392567753,-0.701652198914,8.59178503696,,,,,,
23.978738,8.88784329145,-1.5585425153,0.172447793884,3.69613564658,-0.701652198914,8.77381429262,,,,,,
23.980404,8.79708154098,-1.51239772563,1.26158879953,3.48398094616,-0.595574848703,9.46552546415,,,,,,
23.98207,8.75170066574,-1.60468730496,1.85154017759,2.77679861142,-0.840878721065,9.13787280396,,,,,,
23.983736,8.88784329145,-1.74312167396,0.989303548122,1.39558311389,-0.805519604328,9.79317812435,,,,,,
23.985402,9.2055094181,-1.5585425153,0.671637421474,1.14806929673,-0.63093396544,9.72036642209,,,,,,
23.987068,9.38703291904,-1.4201081463,0.263209544355,2.52928479426,-0.52485661523,9.39271376189,,,,,,
23.988734,9.43241379427,-1.60468730496,0.580875671003,2.38784832731,-0.805519604328,10.0116132312,,,,,,
23.9904,9.52317554475,-1.60468730496,0.989303548122,1.64309693105,-0.840878721065,9.75677227322,,,,,,
23.992066,9.3416520438,-1.65083209463,0.762399171945,0.93591459631,-1.01767430475,9.82958397549,,,,,,
