Latest: Time (s),Latest: X Acceleration 1 (m/s²),Latest: Y Acceleration 1 (m/s²),Latest: Z Acceleration 1 (m/s²),Latest: Z Acceleration 2 (m/s²),Latest: Y Acceleration 2 (m/s²),Latest: X Acceleration 2 (m/s²),FFT: Time - Frequency (Hz),FFT: Z Acceleration 2 - FFT
18.41763,9.47779466951,-1.00480503929,0.127066918649,1.81989251473,-0.63093396544,9.82958397549,,
18.419296,9.52317554475,-1.00480503929,0.127066918649,1.92817980974,-0.560215731966,9.86598982662,,
18.420962,9.56855641998,-0.958660249627,0.172447793884,1.81989251473,-0.595574848703,9.86598982662,,
18.422628,9.47779466951,-1.05094982896,0.127066918649,1.92817980974,-0.560215731966,9.82958397549,,
18.424294,9.47779466951,-1.00480503929,0.127066918649,1.81989251473,-0.63093396544,9.86598982662,,
18.42596,9.47779466951,-1.05094982896,0.127066918649,1.892820693,-0.63093396544,9.82958397549,,
18.427626,9.56855641998,-0.958660249627,0.172447793884,1.85746157626,-0.63093396544,9.86598982662,,
18.429292,9.47779466951,-1.05094982896,0.127066918649,1.85746157626,-0.63093396544,9.79317812435,,
18.430958,9.52317554475,-1.05094982896,0.127066918649,1.81989251473,-0.666293082177,9.86598982662,,
18.432624,9.52317554475,-1.05094982896,0.127066918649,1.85746157626,-0.666293082177,9.82958397549,,
18.43429,9.52317554475,-1.05094982896,0.127066918649,1.85746157626,-0.666293082177,9.82958397549,,
18.435956,9.52317554475,-1.05094982896,0.172447793884,1.81989251473,-0.666293082177,9.86598982662,,
18.437622,9.52317554475,-1.05094982896,0.172447793884,1.892820693,-0.666293082177,9.82958397549,,
18.439288,9.52317554475,-1.05094982896,0.172447793884,1.892820693,-0.666293082177,9.82958397549,,
18.440954,9.61393729522,-0.958660249627,0.263209544355,1.85746157626,-0.63093396544,9.86598982662,,
18.44262,9.52317554475,-1.00480503929,0.172447793884,1.81989251473,-0.666293082177,9.82958397549,,
18.444286,9.52317554475,-1.05094982896,0.172447793884,1.85746157626,-0.666293082177,9.86598982662,,
18.445952,9.52317554475,-1.05094982896,0.127066918649,1.892820693,-0.666293082177,9.86598982662,,
18.447618,9.65931817045,-0.912515459961,0.263209544355,1.892820693,-0.666293082177,9.86598982662,,
18.449284,9.56855641998,-1.05094982896,0.172447793884,1.81989251473,-0.666293082177,9.90239567775,,
18.45095,9.56855641998,-1.05094982896,0.127066918649,1.81989251473,-0.666293082177,9.90239567775,,
18.452616,9.56855641998,-1.00480503929,0.172447793884,1.81989251473,-0.666293082177,9.86598982662,,
18.454282,9.61393729522,-1.00480503929,0.172447793884,1.85746157626,-0.701652198914,9.90239567775,,
18.455948,9.56855641998,-1.05094982896,0.127066918649,1.892820693,-0.701652198914,9.90239567775,,
18.457614,9.56855641998,-1.05094982896,0.127066918649,1.81989251473,-0.701652198914,9.86598982662,,
18.45928,9.56855641998,-1.05094982896,0.127066918649,1.85746157626,-0.666293082177,9.90239567775,,
18.460946,9.65931817045,-0.958660249627,0.21782866912,1.85746157626,-0.666293082177,9.90239567775,,
18.462612,9.61393729522,-1.05094982896,0.127066918649,1.85746157626,-0.666293082177,9.93880152889,,
18.464278,9.61393729522,-1.00480503929,0.172447793884,1.85746157626,-0.666293082177,9.90239567775,,
18.465944,9.61393729522,-1.05094982896,0.127066918649,1.81989251473,-0.666293082177,9.90239567775,,
18.46761,9.70469904569,-0.866370670294,0.0363051681779,2.564643911,-0.52485661523,9.42911961302,,
18.469276,9.47779466951,-0.589501932292,0.127066918649,4.79447821021,-0.206624564598,9.06506110169,,
18.470942,9.3416520438,-0.866370670294,1.80615930236,4.61768262653,-0.701652198914,9.61114886869,,
18.472608,9.25089029333,-1.18938419796,1.35235055001,2.03425715995,-0.560215731966,10.5577009981,,
18.474274,9.25089029333,-1.18938419796,0.898541797651,-0.975687652273,-0.701652198914,10.9922958461,,
18.47594,9.61393729522,-1.32781856696,0.580875671003,-1.9657429209,-0.982315188012,9.82958397549,,
18.477606,10.0223651723,-1.18938419796,-1.27974021365,-1.15248323596,-0.840878721065,10.4484834448,,
18.479272,10.5215547999,-1.23552898763,-1.91507246695,1.2187875302,-0.805519604328,10.4120775936,,
18.480938,10.7030783009,-1.05094982896,-1.50664458983,3.236467129,-0.666293082177,10.230048338,,
18.482604,10.6123165504,-0.866370670294,-1.82431071647,3.83757211352,-0.52485661523,10.0480190823,,
18.48427,10.1131269228,-0.912515459961,-1.50664458983,2.31713009384,-0.595574848703,10.0480190823,,
18.485936,9.52317554475,-0.912515459961,0.580875671003,0.93591459631,-0.701652198914,9.90239567775,,
18.487602,9.02398591716,-1.00480503929,1.67001667665,1.2187875302,-0.701652198914,9.75677227322,,
18.489268,8.70631979051,-1.09709461863,2.6230150566,1.92817980974,-0.911596954538,9.75677227322,,
18.490934,8.84246241621,-1.2816737773,3.3944899356,2.70608037795,-1.01767430475,9.64755471982,,
