Latest: Time (s),Latest: X Acceleration 1 (m/s²),Latest: Y Acceleration 1 (m/s²),Latest: Z Acceleration 1 (m/s²),Latest: X Acceleration 2 (m/s²),Latest: Y Acceleration 2 (m/s²),Latest: Z Acceleration 2 (m/s²),Latest: X Acceleration 3 (m/s²),Latest: Y Acceleration 3 (m/s²),Latest: Z Acceleration 3 (m/s²)
14.242634,10.2755556519,0.166856105934,0.270721212699,9.70469904569,-0.451067563292,0.989303548122,10.0276474177,-0.0930944415741,-0.553431123291
14.2443,10.2755556519,0.166856105934,0.202212924021,9.65931817045,-0.451067563292,1.03468442336,10.0276474177,-0.0930944415741,-0.553431123291
14.245966,10.311961503,0.166856105934,0.202212924021,9.65931817045,-0.451067563292,1.03468442336,10.0276474177,-0.0930944415741,-0.553431123291
14.247632,10.3847732053,0.166856105934,0.202212924021,9.70469904569,-0.451067563292,1.08006529859,10.0276474177,-0.129871736746,-0.553431123291
14.249298,10.311961503,0.166856105934,0.166853807284,9.70469904569,-0.451067563292,1.08006529859,10.0276474177,-0.129871736746,-0.553431123291
14.250964,10.3483673541,0.237574339408,0.235362095962,9.70469904569,-0.451067563292,1.12544617383,10.0276474177,-0.129871736746,-0.553431123291
14.25263,10.311961503,0.166856105934,0.0961355738109,9.75007992092,-0.404922773625,1.17082704906,10.1704850408,-0.166649031918,-0.553431123291
14.254296,10.2414251664,0.0961378724605,0.0254173403373,9.70469904569,-0.451067563292,1.2162079243,10.1704850408,-0.129871736746,-0.589870816359
14.255962,10.2755556519,0.166856105934,0.0961355738109,9.79546079616,-0.358777983958,1.26158879953,10.1704850408,-0.129871736746,-0.589870816359
14.257628,10.2414251664,0.131496989197,-0.0099417763995,9.79546079616,-0.404922773625,1.26158879953,10.0276474177,-0.129871736746,-0.626310509426
14.259294,10.2755556519,0.166856105934,0.0607764570741,9.70469904569,-0.451067563292,1.2162079243,10.1704850408,-0.129871736746,-0.626310509426
14.26096,10.2414251664,0.131496989197,0.0254173403373,9.75007992092,-0.451067563292,1.2162079243,10.1704850408,-0.129871736746,-0.626310509426
14.262626,10.2755556519,0.166856105934,0.0961355738109,9.70469904569,-0.451067563292,1.17082704906,10.0276474177,-0.166649031918,-0.626310509426
14.264292,10.2755556519,0.131496989197,0.0607764570741,9.70469904569,-0.451067563292,1.2162079243,10.1704850408,-0.129871736746,-0.589870816359
14.265958,10.2414251664,0.131496989197,0.0961355738109,9.65931817045,-0.451067563292,1.17082704906,10.0276474177,-0.166649031918,-0.589870816359
14.267624,10.2755556519,0.131496989197,0.0961355738109,9.70469904569,-0.451067563292,1.17082704906,10.0276474177,-0.166649031918,-0.589870816359
14.26929,10.2755556519,0.131496989197,0.131494690548,9.65931817045,-0.451067563292,1.17082704906,10.0276474177,-0.166649031918,-0.553431123291
14.270956,10.2755556519,0.131496989197,0.166853807284,9.65931817045,-0.451067563292,1.17082704906,9.99193801192,-0.166649031918,-0.553431123291
