Latest: Time (s),Latest: X Acceleration 1 (m/s²),Latest: Y Acceleration 1 (m/s²),Latest: Z Acceleration 1 (m/s²),Latest: X Acceleration 2 (m/s²),Latest: Y Acceleration 2 (m/s²),Latest: Z Acceleration 2 (m/s²),Latest: X Acceleration 3 (m/s²),Latest: Y Acceleration 3 (m/s²),Latest: Z Acceleration 3 (m/s²),FFT: Time - Frequency (Hz),FFT: Z Acceleration 3 - FFT,FFT 2: Time - Frequency (Hz),FFT 2: Z Acceleration 3 - FFT,FFT 3: Time - Frequency (Hz),FFT 3: Z Acceleration 3 - FFT
6.142542,10.132207613,0.376800861559,0.270721212699,9.61393729522,-0.312633194291,1.03468442336,9.92051920036,-0.0563171464019,-0.589870816359,135.076003057,2.53380287054,,,,
6.144208,10.0958017619,0.308292572881,0.235362095962,9.75007992092,-0.220343614958,1.12544617383,9.88480979457,-0.0930944415741,-0.589870816359,135.112638806,2.78758258408,,,,
6.145874,10.0229900596,0.237574339408,0.235362095962,9.61393729522,-0.358777983958,1.08006529859,9.88480979457,-0.0930944415741,-0.589870816359,135.149274554,2.08928439451,,,,
6.14754,10.0958017619,0.272933456145,0.166853807284,9.61393729522,-0.358777983958,1.17082704906,9.88480979457,-0.129871736746,-0.626310509426,135.185910302,0.583830702056,,,,
6.149206,10.0958017619,0.202215222671,0.0961355738109,9.65931817045,-0.404922773625,1.17082704906,9.92051920036,-0.129871736746,-0.589870816359,135.22254605,0.789484684635,,,,
6.150872,10.132207613,0.237574339408,0.0961355738109,9.65931817045,-0.404922773625,1.17082704906,9.92051920036,-0.166649031918,-0.589870816359,135.259181798,1.23426974397,,,,
6.152538,10.0958017619,0.166856105934,0.0961355738109,9.65931817045,-0.404922773625,1.2162079243,9.92051920036,-0.166649031918,-0.626310509426,135.295817546,1.41133139459,,,,
6.154204,10.132207613,0.237574339408,0.131494690548,9.65931817045,-0.451067563292,1.26158879953,9.92051920036,-0.166649031918,-0.662750202493,135.332453294,1.93810276994,,,,
6.15587,10.132207613,0.202215222671,0.0961355738109,9.65931817045,-0.451067563292,1.26158879953,9.95622860614,-0.166649031918,-0.626310509426,135.369089042,1.84704245445,,,,
6.157536,10.132207613,0.131496989197,0.131494690548,9.65931817045,-0.451067563292,1.26158879953,9.95622860614,-0.203426327091,-0.626310509426,135.40572479,1.0285587834,,,,
6.159202,10.2050193153,0.166856105934,0.131494690548,9.65931817045,-0.451067563292,1.2162079243,9.95622860614,-0.203426327091,-0.589870816359,135.442360538,1.10749656585,,,,
6.160868,10.1686134642,0.131496989197,0.131494690548,9.61393729522,-0.497212352959,1.2162079243,9.92051920036,-0.203426327091,-0.553431123291,135.478996286,1.85832373573,,,,
6.162534,10.2050193153,0.0961378724605,0.166853807284,9.61393729522,-0.543357142626,1.26158879953,9.95622860614,-0.240203622263,-0.553431123291,135.515632034,2.35133087092,,,,
6.1642,10.2414251664,0.166856105934,0.270721212699,9.61393729522,-0.543357142626,1.17082704906,9.92051920036,-0.240203622263,-0.553431123291,135.552267782,2.70555033844,,,,
6.165866,10.2050193153,0.0961378724605,0.270721212699,9.61393729522,-0.543357142626,1.12544617383,9.92051920036,-0.240203622263,-0.516991430224,135.58890353,2.67076131035,,,,
6.167532,10.132207613,0.131496989197,0.412157679646,9.61393729522,-0.543357142626,1.08006529859,9.92051920036,-0.240203622263,-0.480551737157,135.625539278,1.9277339074,,,,
6.169198,10.2050193153,0.0629887005198,0.376798562909,9.61393729522,-0.589501932292,1.12544617383,9.99193801192,-0.240203622263,-0.44411204409,135.662175026,0.623650642589,,,,
6.170864,10.132207613,-0.00772953295382,0.270721212699,9.65931817045,-0.589501932292,1.08006529859,9.95622860614,-0.240203622263,-0.44411204409,135.698810774,0.619434027063,,,,
6.17253,10.2414251664,0.0629887005198,0.376798562909,9.65931817045,-0.543357142626,1.03468442336,9.99193801192,-0.240203622263,-0.516991430224,135.735446522,1.13242906969,,,,
6.174196,10.2050193153,-0.00772953295382,0.306080329436,9.65931817045,-0.635646721959,0.943922672886,9.99193801192,-0.276980917435,-0.553431123291,135.77208227,0.979135905646,,,,
6.175862,10.2414251664,-0.00772953295382,0.376798562909,9.61393729522,-0.635646721959,0.943922672886,9.99193801192,-0.276980917435,-0.553431123291,135.808718018,1.12461914947,,,,
6.177528,10.2755556519,-0.0430886496906,0.306080329436,9.61393729522,-0.635646721959,0.989303548122,9.99193801192,-0.313758212607,-0.626310509426,135.845353767,1.28956112117,,,,
6.179194,10.2755556519,-0.0784477664274,0.412157679646,9.65931817045,-0.681791511626,1.03468442336,10.0276474177,-0.276980917435,-0.662750202493,135.881989515,0.902897726344,,,,
6.18086,10.2755556519,-0.113806883164,0.341439446172,9.65931817045,-0.681791511626,1.03468442336,10.0276474177,-0.313758212607,-0.589870816359,135.918625263,0.981880790412,,,,
6.182526,10.2755556519,-0.113806883164,0.341439446172,9.65931817045,-0.727936301293,1.03468442336,10.0276474177,-0.313758212607,-0.626310509426,135.955261011,1.65782087632,,,,
6.184192,10.3483673541,-0.113806883164,0.306080329436,9.65931817045,-0.727936301293,1.03468442336,10.0276474177,-0.313758212607,-0.589870816359,135.991896759,2.11409109238,,,,
6.185858,10.3847732053,-0.149165999901,0.270721212699,9.65931817045,-0.77408109096,1.08006529859,10.1704850408,-0.35053550778,-0.589870816359,136.028532507,2.39485615434,,,,
6.187524,10.3847732053,-0.149165999901,0.306080329436,9.65931817045,-0.77408109096,1.08006529859,10.1704850408,-0.35053550778,-0.589870816359,136.065168255,2.37421157228,,,,
6.18919,10.4575849075,-0.149165999901,0.270721212699,9.65931817045,-0.820225880627,1.12544617383,10.1704850408,-0.35053550778,-0.589870816359,136.101804003,1.75762036093,,,,
6.190856,10.3847732053,-0.0430886496906,0.480665968324,9.65931817045,-0.77408109096,1.12544617383,10.1704850408,-0.276980917435,-0.808508974762,136.138439751,0.650285321113,,,,
6.192522,10.2414251664,0.0629887005198,1.88398091382,9.93160342186,-0.497212352959,1.12544617383,10.2776132582,-0.0563171464019,-0.189034192619,136.175075499,0.527333363814,,,,
6.194188,10.3847732053,0.0961378724605,1.84862179708,9.75007992092,-0.589501932292,0.898541797651,10.313322664,0.090792034287,1.66711267299,136.211711247,0.836984891662,,,,
6.195854,10.2414251664,-0.323751638789,1.35801405236,9.3416520438,-0.820225880627,1.30696967477,10.0276474177,-0.35053550778,2.72386377194,136.248346995,0.521532117289,,,,
6.19752,10.2755556519,-0.46297816094,0.270721212699,9.29627116857,-1.00480503929,1.76077842712,9.81339098301,-0.755085754674,1.73999205913,136.284982743,0.688960178343,,,,
6.199186,10.5645270952,-0.604414627887,-0.710494276747,9.52317554475,-1.14323940829,2.16920630424,9.81339098301,-0.938972230535,-1.35510437077,136.321618491,1.00725432692,,,,
6.200852,10.6737446486,-0.498337277677,-1.20110202147,9.84084167139,-1.14323940829,2.07844455377,10.0276474177,-0.938972230535,-3.75784663239,136.358254239,1.06445478452,,,,
6.202518,10.7078751341,-0.46297816094,-1.27182025494,10.158507798,-0.958660249627,1.12544617383,10.313322664,-0.644753869157,-4.08580387,136.394889987,1.23955502927,,,,
6.204184,10.6737446486,-0.359110755526,-0.851930743695,10.0677460476,-0.866370670294,-0.00907570705749,10.4918696929,-0.387312802952,-3.2135287172,136.431525735,1.54478271182,,,,
6.20585,10.5281212441,-0.184525116638,1.07735106326,9.9769842971,-0.912515459961,-0.962074087001,10.5275790987,-0.129871736746,-2.55761424199,136.468161483,1.71862902452,,,,
6.207516,10.5645270952,-0.184525116638,1.4994505193,10.0677460476,-0.77408109096,-1.14359758794,10.4561602871,0.0540147391148,-1.3186646777,136.504797231,1.79650815211,,,,
6.209182,10.6373387975,-0.217674288579,0.551384201797,9.52317554475,-0.958660249627,0.172447793884,10.3847414755,-0.240203622263,-0.371232657955,136.541432979,1.82707595105,,,,
6.210848,10.8170926875,-0.359110755526,-1.130383788,9.38703291904,-0.958660249627,1.80615930236,10.2776132582,-0.497644688468,0.175362738053,136.578068727,1.49371985214,,,,
