Latest: Time (s),Latest: X Acceleration 1 (m/s²),Latest: Y Acceleration 1 (m/s²),Latest: Z Acceleration 1 (m/s²),Latest: X Acceleration 2 (m/s²),Latest: Y Acceleration 2 (m/s²),Latest: Z Acceleration 2 (m/s²),Latest: X Acceleration 3 (m/s²),Latest: Y Acceleration 3 (m/s²),Latest: Z Acceleration 3 (m/s²),FFT: Time - Frequency (Hz),FFT: Z Acceleration 3 - FFT,FFT 2: Time - Frequency (Hz),FFT 2: Z Acceleration 3 - FFT,FFT 3: Time - Frequency (Hz),FFT 3: Z Acceleration 3 - FFT
9.876048,10.311961503,0.131496989197,0.131494690548,9.79546079616,-0.497212352959,0.490113920532,10.1704850408,-0.129871736746,-0.553431123291,217.176714436,0.0937054642642,,,,
9.877714,10.2414251664,0.166856105934,0.235362095962,9.84084167139,-0.451067563292,0.490113920532,10.0276474177,-0.129871736746,-0.553431123291,217.213350184,0.0604308880032,,,,
9.87938,10.311961503,0.131496989197,0.0961355738109,9.79546079616,-0.497212352959,0.490113920532,10.1704850408,-0.0930944415741,-0.589870816359,217.249985932,0.028662501344,,,,
9.881046,10.2414251664,0.0629887005198,0.0607764570741,9.79546079616,-0.497212352959,0.490113920532,10.0276474177,-0.0930944415741,-0.553431123291,217.28662168,0.0697077659903,,,,
9.882712,10.2755556519,0.131496989197,0.0961355738109,9.75007992092,-0.497212352959,0.490113920532,10.0276474177,-0.129871736746,-0.516991430224,217.323257428,0.0801374379704,,,,
9.884378,10.2755556519,0.0961378724605,0.0961355738109,9.75007992092,-0.497212352959,0.535494795768,10.0276474177,-0.129871736746,-0.553431123291,217.359893176,0.0625067470112,,,,
9.886044,10.2755556519,0.0961378724605,0.131494690548,9.75007992092,-0.497212352959,0.535494795768,10.0276474177,-0.129871736746,-0.553431123291,217.396528924,0.0311366249284,,,,
9.88771,10.2755556519,0.131496989197,0.0961355738109,9.75007992092,-0.543357142626,0.580875671003,9.99193801192,-0.129871736746,-0.553431123291,217.433164672,0.0832179402913,,,,
9.889376,10.2414251664,0.0961378724605,0.131494690548,9.75007992092,-0.497212352959,0.580875671003,9.99193801192,-0.129871736746,-0.516991430224,217.46980042,0.090577621686,,,,
9.891042,10.2755556519,0.0961378724605,0.0961355738109,9.75007992092,-0.497212352959,0.626256546238,10.0276474177,-0.166649031918,-0.553431123291,217.506436168,0.0332262977288,,,,
