Latest: Time (s),Latest: X Acceleration 1 (m/s²),Latest: Y Acceleration 1 (m/s²),Latest: Z Acceleration 1 (m/s²),Latest: X Acceleration 2 (m/s²),Latest: Y Acceleration 2 (m/s²),Latest: Z Acceleration 2 (m/s²),Latest: X Acceleration 3 (m/s²),Latest: Y Acceleration 3 (m/s²),Latest: Z Acceleration 3 (m/s²)
7.718578,9.98885957419,0.131496989197,0.235362095962,9.47779466951,-0.543357142626,1.12544617383,9.81339098301,-0.313758212607,-0.772069281695
7.720244,9.87964202079,0.027629583783,0.235362095962,9.47779466951,-0.589501932292,1.17082704906,9.77768157722,-0.313758212607,-0.735629588627
7.72191,9.95245372306,0.0961378724605,0.235362095962,9.52317554475,-0.543357142626,1.2162079243,9.81339098301,-0.35053550778,-0.662750202493
7.723576,9.84323616966,0.0629887005198,0.0961355738109,9.56855641998,-0.451067563292,1.35235055001,9.77768157722,-0.35053550778,-0.626310509426
7.725242,9.91604787193,0.131496989197,0.131494690548,9.47779466951,-0.543357142626,1.26158879953,9.74197217144,-0.35053550778,-0.626310509426
7.726908,9.84323616966,0.0961378724605,0.131494690548,9.52317554475,-0.497212352959,1.30696967477,9.74197217144,-0.35053550778,-0.662750202493
7.728574,9.87964202079,0.0961378724605,0.202212924021,9.47779466951,-0.497212352959,1.30696967477,9.74197217144,-0.35053550778,-0.662750202493
7.73024,9.87964202079,0.131496989197,0.131494690548,9.61393729522,-0.404922773625,1.39773142524,9.74197217144,-0.35053550778,-0.626310509426
7.731906,9.84323616966,0.0961378724605,0.202212924021,9.52317554475,-0.497212352959,1.30696967477,9.74197217144,-0.35053550778,-0.662750202493
7.733572,9.84323616966,0.131496989197,0.235362095962,9.52317554475,-0.497212352959,1.30696967477,9.74197217144,-0.35053550778,-0.626310509426
7.735238,9.84323616966,0.0961378724605,0.202212924021,9.47779466951,-0.497212352959,1.30696967477,9.74197217144,-0.35053550778,-0.662750202493
7.736904,9.84323616966,0.166856105934,0.202212924021,9.47779466951,-0.497212352959,1.26158879953,9.74197217144,-0.35053550778,-0.662750202493
7.73857,9.84323616966,0.166856105934,0.235362095962,9.47779466951,-0.497212352959,1.26158879953,9.70626276566,-0.387312802952,-0.662750202493
7.740236,9.84323616966,0.166856105934,0.270721212699,9.47779466951,-0.497212352959,1.2162079243,9.70626276566,-0.387312802952,-0.626310509426
7.741902,9.87964202079,0.237574339408,0.306080329436,9.52317554475,-0.497212352959,1.2162079243,9.74197217144,-0.387312802952,-0.626310509426
7.743568,9.84323616966,0.166856105934,0.306080329436,9.52317554475,-0.497212352959,1.17082704906,9.70626276566,-0.387312802952,-0.589870816359
7.745234,9.73629398196,0.166856105934,0.376798562909,9.61393729522,-0.404922773625,1.2162079243,9.70626276566,-0.35053550778,-0.589870816359
7.7469,9.84323616966,0.131496989197,0.306080329436,9.52317554475,-0.543357142626,1.03468442336,9.70626276566,-0.387312802952,-0.626310509426
7.748566,9.80683031853,0.0961378724605,0.235362095962,9.52317554475,-0.543357142626,1.03468442336,9.70626276566,-0.35053550778,-0.589870816359
7.750232,9.84323616966,0.131496989197,0.306080329436,9.52317554475,-0.543357142626,1.08006529859,9.74197217144,-0.387312802952,-0.589870816359
7.751898,9.80683031853,0.0629887005198,0.270721212699,9.52317554475,-0.543357142626,1.08006529859,9.74197217144,-0.387312802952,-0.589870816359
7.753564,9.84323616966,0.0961378724605,0.306080329436,9.56855641998,-0.543357142626,1.12544617383,9.74197217144,-0.387312802952,-0.626310509426
7.75523,9.91604787193,0.0629887005198,0.270721212699,9.52317554475,-0.589501932292,1.12544617383,9.77768157722,-0.387312802952,-0.589870816359
7.756896,9.87964202079,0.0629887005198,0.270721212699,9.52317554475,-0.589501932292,1.12544617383,9.74197217144,-0.424090098124,-0.626310509426
7.758562,9.91604787193,0.0629887005198,0.270721212699,9.52317554475,-0.589501932292,1.08006529859,9.77768157722,-0.387312802952,-0.662750202493
7.760228,9.95245372306,0.0629887005198,0.306080329436,9.52317554475,-0.589501932292,1.12544617383,9.77768157722,-0.387312802952,-0.662750202493
7.761894,9.95245372306,0.0629887005198,0.270721212699,9.52317554475,-0.635646721959,1.12544617383,9.77768157722,-0.387312802952,-0.626310509426
7.76356,10.0229900596,0.0961378724605,0.306080329436,9.47779466951,-0.635646721959,1.17082704906,9.77768157722,-0.424090098124,-0.626310509426
7.765226,9.95245372306,-0.00772953295382,0.235362095962,9.47779466951,-0.681791511626,1.17082704906,9.74197217144,-0.424090098124,-0.626310509426
7.766892,9.91604787193,-0.00772953295382,0.306080329436,9.47779466951,-0.681791511626,1.17082704906,9.77768157722,-0.460867393296,-0.626310509426
7.768558,10.0593959108,0.0629887005198,0.270721212699,9.47779466951,-0.681791511626,1.17082704906,9.88480979457,-0.35053550778,-0.881388360896
7.770224,9.80683031853,0.166856105934,2.79668811458,9.75007992092,-0.543357142626,1.17082704906,10.1704850408,0.0172374439426,-0.626310509426
7.77189,10.132207613,-0.00772953295382,2.90055552,9.88622254663,-0.497212352959,0.671637421474,10.2776132582,0.127569329459,2.61454469274
7.773556,9.48372838972,-0.323751638789,1.53480963604,8.93322416669,-0.958660249627,1.48849317571,9.52771573674,-0.681531164329,4.18145149463
7.775222,9.98885957419,-0.394469872263,0.341439446172,8.93322416669,-0.958660249627,2.30534892995,9.24204049047,-0.938972230535,2.72386377194
7.776888,10.2755556519,-0.46297816094,-0.781212510221,9.29627116857,-1.05094982896,2.48687243089,9.49200633095,-1.08608141122,-2.37541577665
7.778554,10.2050193153,-0.394469872263,-1.83314623314,9.75007992092,-1.00480503929,2.84991943277,9.70626276566,-1.08608141122,-5.50695189962
7.78022,10.2755556519,-0.323751638789,-2.25303574439,10.2038886733,-0.912515459961,0.943922672886,10.2061944466,-0.828640345018,-5.14255496894
7.781886,10.132207613,-0.288392522052,-0.710494276747,9.70469904569,-0.820225880627,-0.689788835589,10.2776132582,-0.313758212607,-3.97648479079
7.783552,10.2050193153,-0.113806883164,1.42873228583,10.158507798,-0.77408109096,-2.18962676212,10.4918696929,-0.0563171464019,-2.22965700438
7.785218,10.3847732053,0.027629583783,1.7801135084,9.38703291904,-0.958660249627,-1.55202546506,10.313322664,0.0172374439426,-1.24578529157
7.786884,10.3847732053,-0.113806883164,0.551384201797,8.97860504192,-1.05094982896,0.399352170061,10.2419038524,-0.276980917435,-0.189034192619
7.78855,10.6373387975,-0.323751638789,-2.00773187203,9.43241379427,-0.727936301293,2.44149155566,9.88480979457,-0.534421983641,-0.480551737157
7.790216,10.7806868363,-0.46297816094,-3.69170980662,9.65931817045,-0.727936301293,3.34910906036,9.74197217144,-0.865417640191,0.394000896456
7.791882,10.4211790564,-0.498337277677,-2.60441696696,9.47779466951,-1.09709461863,3.25834730989,9.92051920036,-0.975749525707,0.430440589524
7.793548,9.91604787193,-0.533696394414,0.902765424369,9.25089029333,-1.23552898763,2.71377680707,9.92051920036,-0.865417640191,0.794837520196
7.795214,9.44732253859,-0.429828988999,3.21657762583,9.47779466951,-0.912515459961,1.67001667665,9.99193801192,-0.497644688468,1.41203482152
7.79688,9.52013424085,-0.184525116638,3.49724061493,9.70469904569,-0.589501932292,0.172447793884,9.67055335987,-0.129871736746,0.974758504715
7.798546,9.77269983309,-0.00772953295382,1.32265493562,9.11474766763,-0.820225880627,-0.78055058606,9.31345930204,0.127569329459,-0.917828053964
7.800212,10.0593959108,0.0961378724605,-1.02651638258,8.38865366386,-0.820225880627,-0.326741833705,9.13491227312,0.201123919804,-2.37541577665
7.801878,10.3847732053,0.0629887005198,-1.27182025494,8.52479628957,-0.77408109096,1.17082704906,9.45629692517,-0.0930944415741,-2.33897608359
7.803544,10.5645270952,-0.113806883164,-0.290604765498,9.06936679239,-0.589501932292,4.1659648146,9.81339098301,-0.424090098124,-1.2093455985
7.80521,10.4211790564,-0.429828988999,0.832047190896,9.70469904569,-0.820225880627,3.57601343654,10.1704850408,-0.681531164329,0.685518440994
7.806876,10.3483673541,-0.46297816094,1.53480963604,9.65931817045,-1.14323940829,3.03144293372,10.2776132582,-0.791863049846,1.15695697005
7.808542,10.132207613,-0.743641150038,1.74475439166,9.52317554475,-1.32781856696,2.03306367854,10.1704850408,-0.791863049846,0.721958134061
7.810208,9.91604787193,-0.710491978098,2.69061076437,9.88622254663,-1.2816737773,0.490113920532,9.92051920036,-0.497644688468,-0.516991430224
7.811874,10.1686134642,-0.429828988999,1.42873228583,9.29627116857,-1.14323940829,-0.599027085118,9.81339098301,-0.240203622263,-1.2093455985
7.81354,10.3483673541,-0.253033405315,-0.290604765498,8.66093891527,-1.14323940829,-0.689788835589,9.59913454831,-0.0563171464019,-1.90169976678
7.815206,10.6373387975,-0.149165999901,-1.62320147752,8.5701771648,-1.05094982896,1.03468442336,9.45629692517,0.0540147391148,-1.39154406384
7.816872,10.5281212441,-0.288392522052,-2.11380922224,8.84246241621,-0.727936301293,2.84991943277,9.67055335987,-0.0930944415741,-1.13646621237
7.818538,10.5281212441,-0.323751638789,-0.465190404386,9.61393729522,-0.77408109096,1.89692105283,9.99193801192,-0.276980917435,-0.772069281695
7.820204,10.4211790564,-0.429828988999,1.18342841347,9.79546079616,-0.912515459961,0.444733045297,10.3847414755,-0.497644688468,-0.808508974762
7.82187,10.311961503,-0.533696394414,1.14806929673,9.9769842971,-1.14323940829,-0.326741833705,10.4561602871,-0.681531164329,-0.589870816359
7.823536,10.4211790564,-0.533696394414,0.551384201797,9.93160342186,-1.05094982896,-0.417503584176,10.313322664,-0.644753869157,-0.0797151134175
7.825202,10.5645270952,-0.394469872263,-0.184527415287,9.70469904569,-1.00480503929,0.172447793884,10.0276474177,-0.387312802952,0.576199361793
7.826868,10.8534985386,-0.149165999901,-0.535908637859,9.56855641998,-0.958660249627,0.943922672886,10.1704850408,0.0172374439426,0.539759668725
7.828534,11.1766004674,0.131496989197,0.235362095962,9.38703291904,-0.635646721959,1.76077842712,10.313322664,0.237901214976,-0.298353271821
7.8302,10.9968465774,0.0961378724605,0.306080329436,9.56855641998,-0.543357142626,1.89692105283,10.5632885045,0.237901214976,-0.553431123291
7.831866,10.6009329464,-0.00772953295382,0.973483657843,9.9769842971,-0.635646721959,0.943922672886,10.5275790987,0.0540147391148,-0.626310509426
7.833532,10.311961503,-0.113806883164,1.39337316909,9.84084167139,-0.727936301293,0.21782866912,10.313322664,-0.387312802952,-0.772069281695
7.835198,9.98885957419,-0.359110755526,1.35801405236,9.75007992092,-0.958660249627,0.353971294826,10.1704850408,-0.755085754674,-1.61018222224
7.836864,10.132207613,-0.323751638789,0.902765424369,9.65931817045,-1.14323940829,1.08006529859,9.88480979457,-0.791863049846,-2.26609669745
7.83853,10.311961503,-0.288392522052,-0.290604765498,9.3416520438,-1.05094982896,1.44311230048,9.77768157722,-0.644753869157,-1.97457915291
