"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: Y Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)"
0,,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.6305127004
0.001666,,9.93160342186,-0.462884459412,0.228732261574,0.500557770138,10.6669185515
0.003332,,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.6305127004
0.004998,,9.93160342186,-0.462884459412,0.0872957946267,0.394480419927,10.5577009981
0.006664,,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.6305127004
0.00833,,9.93160342186,-0.462884459412,0.0872957946267,0.465198653401,10.6305127004
0.009996,,9.93160342186,-0.462884459412,0.122654911363,0.394480419927,10.5941068493
0.011662,,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.6305127004
0.013328,,9.9769842971,-0.462884459412,0.228732261574,0.500557770138,10.6305127004
0.014994,,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.6305127004
0.01666,,9.93160342186,-0.462884459412,0.0872957946267,0.394480419927,10.521295147
0.018326,,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.6305127004
0.019992,,9.93160342186,-0.508265334647,0.0872957946267,0.429839536664,10.6305127004
0.021658,,9.88622254663,-0.462884459412,0.0872957946267,0.394480419927,10.6305127004
0.023324,,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.6305127004
0.02499,,9.93160342186,-0.462884459412,0.193373144837,0.500557770138,10.6305127004
0.026656,,9.93160342186,-0.462884459412,0.122654911363,0.500557770138,10.6669185515
0.028322,,9.93160342186,-0.462884459412,0.0519366778899,0.394480419927,10.5577009981
0.029988,,9.93160342186,-0.462884459412,0.122654911363,0.465198653401,10.6305127004
0.031654,,9.93160342186,-0.462884459412,0.0519366778899,0.394480419927,10.5941068493
0.03332,,9.93160342186,-0.462884459412,0.0872957946267,0.429839536664,10.6305127004
0.034986,,9.93160342186,-0.508265334647,0.0872957946267,0.465198653401,10.5941068493
0.036652,,9.93160342186,-0.462884459412,0.122654911363,0.429839536664,10.6305127004
0.038318,,9.93160342186,-0.508265334647,0.122654911363,0.465198653401,10.6305127004
0.039984,,9.93160342186,-0.462884459412,0.0519366778899,0.465198653401,10.7397302538
0.04165,,9.93160342186,-0.462884459412,0.1580140281,0.465198653401,10.6305127004
0.043316,,9.93160342186,-0.462884459412,0.0872957946267,0.394480419927,10.5941068493
