"Latest: Time (s)","Latest: Y Acceleration 1 (m/s²)","Latest: X Acceleration 1 (m/s²)","Latest: Z Acceleration 1 (m/s²)","Latest: Z Acceleration 2 (m/s²)","Latest: X Acceleration 2 (m/s²)","Latest: Y Acceleration 2 (m/s²)"
0,-1.2816737773,9.79546079616,-0.00907570705749,0.688400779152,10.3779471082,-0.281762687664
0.001666,-1.32781856696,9.75007992092,-0.0544565822929,0.617682545679,10.3779471082,-0.281762687664
0.003332,-1.32781856696,9.75007992092,-0.0544565822929,0.617682545679,10.3779471082,-0.281762687664
0.004998,-1.32781856696,9.75007992092,-0.00907570705749,0.653041662415,10.3779471082,-0.281762687664
0.006664,-1.32781856696,9.75007992092,-0.0544565822929,0.617682545679,10.341541257,-0.281762687664
0.00833,-1.32781856696,9.75007992092,-0.0544565822929,0.653041662415,10.4143529593,-0.281762687664
0.009996,-1.32781856696,9.79546079616,-0.0544565822929,0.688400779152,10.341541257,-0.281762687664
0.011662,-1.32781856696,9.75007992092,-0.0544565822929,0.653041662415,10.4143529593,-0.246403570927
0.013328,-1.32781856696,9.75007992092,-0.0544565822929,0.723759895889,10.4507588104,-0.246403570927
0.014994,-1.2816737773,9.75007992092,-0.00907570705749,0.653041662415,10.4143529593,-0.281762687664
0.01666,-1.32781856696,9.75007992092,-0.0544565822929,0.582323428942,10.4507588104,-0.21104445419
0.018326,-1.32781856696,9.75007992092,-0.00907570705749,0.653041662415,10.4143529593,-0.246403570927
0.019992,-1.32781856696,9.75007992092,-0.0544565822929,0.617682545679,10.3051354059,-0.352480921138
0.021658,-1.32781856696,9.75007992092,-0.00907570705749,0.653041662415,10.4143529593,-0.281762687664
0.023324,-1.32781856696,9.79546079616,-0.00907570705749,0.653041662415,10.341541257,-0.317121804401
0.02499,-1.32781856696,9.79546079616,-0.00907570705749,0.617682545679,10.3779471082,-0.246403570927
0.026656,-1.32781856696,9.75007992092,-0.0544565822929,0.653041662415,10.3779471082,-0.317121804401
