Latest: Time (s),Latest: X Acceleration 1 (m/s²),Latest: Y Acceleration 1 (m/s²),Latest: Z Acceleration 1 (m/s²),Latest: Z Acceleration 2 (m/s²),Latest: Y Acceleration 2 (m/s²),Latest: X Acceleration 2 (m/s²),FFT: Time - Frequency (Hz),FFT: Z Acceleration 2 - FFT,FFT 2: Time - Frequency (Hz),FFT 2: Z Acceleration 2 - FFT
22.259426,9.56855641998,-1.4201081463,0.80778004718,1.99889804321,-0.73701131565,9.86598982662,,,,
22.261092,9.56855641998,-1.4201081463,0.80778004718,1.92817980974,-0.770160487591,9.82958397549,,,,
22.262758,9.43241379427,-1.5585425153,0.671637421474,1.92817980974,-0.701652198914,9.86598982662,,,,
22.264424,9.43241379427,-1.51239772563,0.717018296709,1.92817980974,-0.701652198914,9.86598982662,,,,
22.26609,9.47779466951,-1.51239772563,0.717018296709,1.99889804321,-0.701652198914,9.86598982662,,,,
22.267756,9.47779466951,-1.51239772563,0.717018296709,1.96353892647,-0.701652198914,9.86598982662,,,,
22.269422,9.43241379427,-1.51239772563,0.717018296709,1.96353892647,-0.73701131565,9.86598982662,,,,
22.271088,9.43241379427,-1.51239772563,0.717018296709,1.92817980974,-0.73701131565,9.82958397549,,,,
22.272754,9.43241379427,-1.51239772563,0.717018296709,1.892820693,-0.701652198914,9.82958397549,,,,
22.27442,9.43241379427,-1.51239772563,0.717018296709,1.96353892647,-0.73701131565,9.82958397549,,,,
22.276086,9.47779466951,-1.46625293596,0.762399171945,1.96353892647,-0.73701131565,9.82958397549,,,,
22.277752,9.43241379427,-1.51239772563,0.762399171945,1.99889804321,-0.701652198914,9.82958397549,,,,
22.279418,9.38703291904,-1.51239772563,0.762399171945,1.96353892647,-0.73701131565,9.75677227322,,,,
22.281084,9.52317554475,-1.37396335663,0.898541797651,1.92817980974,-0.701652198914,9.79317812435,,,,
22.28275,9.38703291904,-1.51239772563,0.80778004718,1.96353892647,-0.770160487591,9.75677227322,,,,
22.284416,9.3416520438,-1.51239772563,0.717018296709,1.99889804321,-0.666293082177,9.82958397549,,,,
22.286082,9.3416520438,-1.51239772563,0.717018296709,1.92817980974,-0.770160487591,9.72036642209,,,,
22.287748,9.3416520438,-1.51239772563,0.717018296709,1.92817980974,-0.666293082177,9.75677227322,,,,
22.289414,9.3416520438,-1.51239772563,0.762399171945,1.892820693,-0.666293082177,9.82958397549,,,,
22.29108,9.38703291904,-1.46625293596,0.762399171945,1.96353892647,-0.666293082177,9.75677227322,,,,
22.292746,9.3416520438,-1.46625293596,0.717018296709,2.03425715995,-0.595574848703,9.82958397549,,,,
22.294412,9.3416520438,-1.51239772563,0.671637421474,1.92817980974,-0.701652198914,9.79317812435,,,,
22.296078,9.3416520438,-1.51239772563,0.717018296709,2.03425715995,-0.666293082177,9.75677227322,,,,
22.297744,9.3416520438,-1.51239772563,0.717018296709,1.92817980974,-0.701652198914,9.72036642209,,,,
22.29941,9.3416520438,-1.51239772563,0.671637421474,1.92817980974,-0.666293082177,9.72036642209,,,,
22.301076,9.3416520438,-1.51239772563,0.717018296709,1.92817980974,-0.701652198914,9.75677227322,,,,
22.302742,9.3416520438,-1.51239772563,0.671637421474,1.92817980974,-0.73701131565,9.72036642209,,,,
22.304408,9.43241379427,-1.4201081463,0.762399171945,1.92817980974,-0.701652198914,9.75677227322,,,,
22.306074,9.3416520438,-1.46625293596,0.671637421474,1.92817980974,-0.701652198914,9.72036642209,,,,
22.30774,9.38703291904,-1.60468730496,0.535494795768,2.14033451016,-0.840878721065,9.46552546415,,,,
22.309406,8.70631979051,-2.5275830983,1.53387405095,3.236467129,-2.25524339054,8.77381429262,,,,
22.311072,6.25348348403,-2.99133823445,3.84829868795,4.44088704285,-1.93701133991,7.90007386543,,,,
22.312738,4.71053372603,-0.0819092459569,5.39124844596,-1.78894733722,1.84420420614,10.0480190823,,,,
22.314404,6.25348348403,1.11785528538,-0.916693211766,2.67072126121,1.91492243961,3.93411145761,,,,
22.31607,7.11572011351,-2.85059662597,-6.36466728378,6.24420199642,-2.8917074918,5.49956305634,,,,
22.317736,8.75170066574,-2.5275830983,1.48849317571,-3.59447223559,-1.97237045664,14.5600692571,,,,
22.319402,10.0677460476,-2.3891487293,4.52901181648,5.00663291063,-0.911596954538,5.17191039614,,,,
22.321068,7.6149097411,-1.32781856696,1.44311230048,-2.28397497153,-2.25524339054,12.7761825516,,,,
22.322734,10.340031299,-0.589501932292,-2.96110164112,-0.0187815555837,2.16243625677,10.4484834448,,,,
22.3244,11.111506178,-1.05094982896,-5.45704977907,6.56243404705,-0.560215731966,8.08210312109,,,,
22.326066,8.66093891527,-2.06613520163,3.98444131366,-0.513809189899,-1.93701133991,11.9388479755,,,,
